Tissue,Protein,Coefficient
Conventional,HAVCR1,0.0847136126
Conventional,HGF,0.0203542582
Conventional,HPGDS,-0.078763609
Conventional,IFNG,-0.0208981915
Conventional,IL18RAP,-0.0036378976
Conventional,IL22,0.0400067567
Conventional,IL6,0.0593408538
Conventional,IL7R,-0.0553184737
Conventional,ITGAM,-0.0232491728
Conventional,KLK3,0.0662984964
Conventional,KLK4,0.045458298
Conventional,KLK8,-0.0156270412
Conventional,KRT19,0.0393150831
Conventional,LCP1,-0.0124862176
Conventional,LHB,-0.0189149619
Conventional,LILRA3,-0.0020481951
Conventional,LRRN1,-0.0122834325
Conventional,LTBP2,0.3462292378
Conventional,MEP1B,-0.0160358031
Conventional,MICB_MICA,0.0094435821
Conventional,MLN,0.0004594336
Conventional,MMP10,-0.0724498964
Conventional,MMP12,0.0971039337
Conventional,MMP9,0.0227140028
Conventional,MSTN,-0.0008547896
Conventional,NCAN,-0.0144760357
Conventional,NEFL,0.336217921
Conventional,NPPB,0.034193766
Conventional,NPTN,-0.0023216832
Conventional,NTF4,-0.0094577196
Conventional,NTproBNP,0.0515350937
Conventional,ODAM,-0.014026355
Conventional,OMG,-0.0164597716
Conventional,PINLYP,-0.0024594639
Conventional,PLA2G1B,-0.0290984274
Conventional,PLAT,0.0715464622
Conventional,PLB1,-0.0032570351
Conventional,PM20D1,-0.0066397116
Conventional,PNLIPRP1,-0.0241815604
Conventional,PNPT1,-0.0009274525
Conventional,PRRT3,-0.0537283881
Conventional,PRSS8,0.0321477466
Conventional,PSCA,-0.0047529177
Conventional,PSG1,0.008369019
Conventional,PSPN,0.007409402
Conventional,PTGR1,-0.0379904009
Conventional,PTN,0.0603608275
Conventional,RBFOX3,0.0645525328
Conventional,REN,0.0673726687
Conventional,RET,-0.1036910195
Conventional,RLN2,-0.0473692918
Conventional,RNASE3,-0.0148647287
Conventional,SCG3,-0.003241585
Conventional,SCIN,-0.0030555303
Conventional,SDC4,-0.0014904185
Conventional,SELE,-0.0063173983
Conventional,SFRP1,0.0197833017
Conventional,SFTPA1,0.0047996945
Conventional,SFTPD,0.0693589546
Conventional,SH3GL3,-0.0056633399
Conventional,SHC1,-0.015518968
Conventional,SKAP1,-0.0569922848
Conventional,SMPDL3A,-0.0013986044
Conventional,SOST,-0.066710216
Conventional,SPON1,0.0105486603
Conventional,SSC4D,-0.0134472892
Conventional,TCL1B,-0.0039183325
Conventional,TGM2,0.0245890224
Conventional,TIMP3,0.0009966837
Conventional,TNFRSF10B,0.0288888531
Conventional,TNFRSF6B,0.0530283032
Conventional,TNFSF11,-0.0101309646
Conventional,TNR,-0.1567388891
Conventional,TRIM21,-0.0036404758
Conventional,TSPAN1,0.0007057497
Conventional,TSPAN8,0.0143741212
Conventional,VGF,-0.2045624936
Conventional,WFDC2,0.1778683714
Conventional,XG,-0.0515455313
Conventional,ZNRD2,0.0092237952
